,L1_norm,L2_norm
1993-03-23,0.01208777884797412,0.0018546741535050374
1993-03-24,0.011494510705836241,0.001840068983412543
1993-03-25,0.012042897752650583,0.001857623857252464
1993-03-26,0.020375060881754607,0.0030892761730840664
1993-03-29,0.027210140264586197,0.003483421892757817
1993-03-30,0.043643697322988555,0.004664091449227014
1993-03-31,0.043643697322988555,0.004664091449227014
1993-04-01,0.04713061815007725,0.0047303648440769844
1993-04-02,0.04711537282911622,0.004737656569146854
1993-04-05,0.04717765664447467,0.004740875375558498
1993-04-06,0.04656605231361702,0.004654002273939883
1993-04-07,0.043856150245026704,0.004568643658297079
1993-04-08,0.04675454538564308,0.0047657083930965965
1993-04-12,0.05224265675553209,0.005043642521377685
1993-04-13,0.05158964759516731,0.0050366451952357436
1993-04-14,0.04402608228640986,0.004591279219636936
1993-04-15,0.022723897752154523,0.003281252740062372
1993-04-16,0.021816914803052312,0.0032564662283965824
1993-04-19,0.01578627184407164,0.0025285666882264367
1993-04-20,0.02059572678557559,0.0029628353496404906
1993-04-21,0.010392054207526934,0.0016361516413057214
1993-04-22,0.00742887701696139,0.0012790586652049276
1993-04-23,0.006685089548657536,0.0011624314003182046
1993-04-26,0.005672298659002879,0.0010768842053683828
1993-04-27,0.00995003543919203,0.0014403054397211907
1993-04-28,0.009957932184246744,0.001440492391315491
1993-04-29,0.01794337795328023,0.002355084159827932
1993-04-30,0.010463059046177664,0.001475889415514396
1993-05-03,0.010463059046177664,0.001475889415514396
1993-05-04,0.010463059046177664,0.001475889415514396
1993-05-05,0.01754368361558439,0.002176154188343443
1993-05-06,0.016124062243173372,0.0020462718144535516
1993-05-07,0.012287241350613673,0.0014531607033795091
1993-05-10,0.01625003076952983,0.00168475679140717
1993-05-11,0.02049042407631578,0.00201713055364519
1993-05-12,0.01618593546347828,0.0016906439554540266
1993-05-13,0.01359869347971203,0.001566573244297299
1993-05-14,0.014904085196935514,0.0017411203833923021
1993-05-17,0.015290394654910638,0.0018126673004672542
1993-05-18,0.015731347930590858,0.001941894508654352
1993-05-19,0.027368837389630432,0.0036139524669282588
1993-05-20,0.028939433860455062,0.0037439876689292838
1993-05-21,0.03178959796490824,0.003835865371045983
1993-05-24,0.03100888156306569,0.0035990488968738587
1993-05-25,0.018571008843427994,0.0023837009022788223
1993-05-26,0.017555370903965202,0.0022805849387768987
1993-05-27,0.013745165766636726,0.0018044379697136482
1993-05-28,0.013724632155016701,0.0018023327574026582
1993-06-01,0.006979359550694704,0.0012875716531628796
1993-06-02,0.005300214341162087,0.0009888523702329083
1993-06-03,0.005103099063041316,0.0009633820210079927
1993-06-04,0.005291630182799126,0.000971797799650012
1993-06-07,0.006117945313879467,0.0010209125872713426
1993-06-08,0.010691994588808975,0.0016733462390751772
1993-06-09,0.010967367394500238,0.0017176288639591082
1993-06-10,0.011242795698954408,0.0017259569313818506
1993-06-11,0.009938067233910422,0.0016444282564208837
1993-06-14,0.010085312853896435,0.0016487815289059225
1993-06-15,0.010085312853896435,0.0016487815289059225
1993-06-16,0.009833848291004291,0.0016275224217370818
1993-06-17,0.008958663698642748,0.0015729792733934476
1993-06-18,0.003951203283992727,0.0007998853718202075
1993-06-21,0.003951203283992727,0.0007998853718202075
1993-06-22,0.0069975507770702735,0.001258417968489278
1993-06-23,0.007338432840778976,0.0012719781919803667
1993-06-24,0.0071774032319642115,0.0012669052675820577
1993-06-25,0.006938250877752861,0.001252039564588092
1993-06-28,0.006938250877752861,0.001252039564588092
1993-06-29,0.005303358723477883,0.000966934166766483
1993-06-30,0.004463364399488085,0.0008426951508367879
1993-07-01,0.004463364399488085,0.0008426951508367879
1993-07-02,0.007954550531562412,0.0015444133152059236
1993-07-06,0.00842551538696119,0.0015719846915187297
1993-07-07,0.00842551538696119,0.0015719846915187297
1993-07-08,0.008341905436715607,0.0015674476035866375
1993-07-09,0.008478967555576394,0.0015705508709267344
1993-07-12,0.008290590442524042,0.0015648388490356211
1993-07-13,0.008416213883073306,0.00156314779712584
1993-07-14,0.012781499797045405,0.0019331821373416139
1993-07-15,0.030165598017783925,0.0037860574157691793
1993-07-16,0.029458539152406447,0.003620188758184085
1993-07-19,0.03273477288500623,0.0037749702966152175
