,L1_norm,L2_norm
1988-03-09,0.024186804077149345,0.00412447075983085
1988-03-10,0.024186804077149345,0.00412447075983085
1988-03-11,0.02742125827649939,0.0044248503607336
1988-03-14,0.024931450308572783,0.004229605113329577
1988-03-15,0.024625412425491534,0.0042192810213843475
1988-03-16,0.02871514864948465,0.004469491736095499
1988-03-17,0.03950100698946499,0.0061047126969917456
1988-03-18,0.019715172454731283,0.004015931963608121
1988-03-21,0.019715172454731283,0.004015931963608121
1988-03-22,0.019510750268307495,0.004012936179118767
1988-03-23,0.019510750268307495,0.004012936179118767
1988-03-24,0.01855200672492075,0.003995198426409458
1988-03-25,0.01855200672492075,0.003995198426409458
1988-03-28,0.01855200672492075,0.003995198426409458
1988-03-29,0.018634410551641997,0.003945018607177499
1988-03-30,0.002198608615395299,0.0006597994784996059
1988-03-31,0.012582667296204468,0.002966176308981915
1988-04-04,0.011384309029027732,0.002884174225308605
1988-04-05,0.011384309029027732,0.002884174225308605
1988-04-06,0.011384309029027732,0.002884174225308605
1988-04-07,0.011384309029027732,0.002884174225308605
1988-04-08,0.011384309029027732,0.002884174225308605
1988-04-11,0.009802700699525577,0.002567048103418166
1988-04-12,0.006298743338504852,0.0018052567625222444
1988-04-13,0.006898375794867651,0.0018322514204983373
1988-04-14,0.006898375794867651,0.0018322514204983373
1988-04-15,0.00761869613612683,0.0018934043474661533
1988-04-18,0.010980469265707895,0.0022376812109895254
1988-04-19,0.0344313676246051,0.006270906022312375
1988-04-20,0.043365075852698595,0.007385632922600144
1988-04-21,0.04103680377143771,0.007013002728943702
1988-04-22,0.04103680377143771,0.007013002728943702
1988-04-25,0.039655992592419226,0.006935672762776621
1988-04-26,0.03934853463280685,0.0068887180212334155
1988-04-27,0.039255687753643013,0.006881710179088842
1988-04-28,0.04345165991981041,0.007261460074526033
1988-04-29,0.04758763757653571,0.007426075503124182
1988-05-02,0.05189165697721841,0.007527510145677178
1988-05-03,0.05013187843061156,0.0074905508363491205
1988-05-04,0.0500425134331749,0.007490017738908477
1988-05-05,0.027192382477201,0.0035109356299179704
1988-05-06,0.025544033371134325,0.0034463256722778715
1988-05-09,0.08016328774151703,0.01057904186709565
1988-05-10,0.08016328774151703,0.01057904186709565
1988-05-11,0.03218391980572435,0.006680213835778517
1988-05-12,0.03229834234532314,0.006823635411635665
1988-05-13,0.03193486651246703,0.0068169106315970635
1988-05-16,0.03636991857288269,0.007153940979443041
1988-05-17,0.033775995720621454,0.007004378883985948
1988-05-18,0.044928814682824184,0.00801991225123309
1988-05-19,0.04505776995628948,0.008020796055143697
1988-05-20,0.04505776995628948,0.008020796055143697
1988-05-23,0.044995911967458876,0.008020557520984843
1988-05-24,0.04523881319537955,0.008023951610372325
1988-05-25,0.04159974425867377,0.007907489621002286
1988-05-26,0.04295941105108916,0.007839430007757022
1988-05-27,0.04257704189814348,0.007634036041210534
1988-05-31,0.039423951800313196,0.0074330778697353625
1988-06-01,0.03932316271984547,0.007432073084299958
1988-06-02,0.039299460507214785,0.007432035288902515
1988-06-03,0.039720993940818565,0.007445060762778138
1988-06-06,0.08788181311286751,0.01106868526582269
1988-06-07,0.03371628542415885,0.003745989354014638
1988-06-08,0.028821193215980444,0.0035341451329393733
1988-06-09,0.021210951200230872,0.0030811651693554293
1988-06-10,0.007540125944386184,0.001497625234981159
1988-06-13,0.009382800120807305,0.001612264745946184
1988-06-14,0.008324643199902233,0.0014960869009957533
1988-06-15,0.03679721871627752,0.005872043853415371
1988-06-16,0.03679721871627752,0.005872043853415371
1988-06-17,0.047645830744026965,0.0064983796417737395
1988-06-20,0.047645830744026965,0.0064983796417737395
1988-06-21,0.047645830744026965,0.0064983796417737395
1988-06-22,0.04682665220028321,0.006380868791292656
1988-06-23,0.0066457899254606075,0.0013892222796854467
1988-06-24,0.008847937487596965,0.0015669576855214412
1988-06-27,0.00565639080935861,0.0012421976694187054
1988-06-28,0.00565639080935861,0.0012421976694187054
1988-06-29,0.0034542432472222545,0.0010087800573311213
1988-06-30,0.003029395775863324,0.0008993968390091988
1988-07-01,0.0030110539482107552,0.000899209792750336
1988-07-05,0.0030110539482107552,0.000899209792750336
1988-07-06,0.0034354328205237674,0.001008604665821253
1988-07-07,0.022431507090099986,0.002577439159337319
1988-07-08,0.022431507090099986,0.002577439159337319
1988-07-11,0.022431507090099986,0.002577439159337319
1988-07-12,0.022431507090099986,0.002577439159337319
1988-07-13,0.0100613182850623,0.0011560719321405423
1988-07-14,0.013880343446066545,0.0015948879671456595
1988-07-15,0.00345757943150902,0.0008583543690655378
1988-07-18,0.00345757943150902,0.0008583543690655378
1988-07-19,0.013880343446066545,0.0015948879671456595
1988-07-20,0.06488148755869341,0.00745505355828894
1988-07-21,0.06488148755869341,0.00745505355828894
1988-07-22,0.0570919060768971,0.00656001015949334
1988-07-25,0.054940061189294134,0.00631275752257286
1988-07-26,0.054940061189294134,0.00631275752257286
1988-07-27,0.054940061189294134,0.00631275752257286
1988-07-28,0.055005857812714755,0.006312896289313395
1988-07-29,0.055005857812714755,0.006312896289313395
1988-08-01,0.05617552544940087,0.006322689075187815
1988-08-02,0.05216658789096294,0.005929450957462507
1988-08-03,0.04684783982707333,0.005141899332222333
1988-08-04,0.055749814022481636,0.005434903988232579
1988-08-05,0.054503047150286026,0.00542356520775011
1988-08-08,0.054503047150286026,0.00542356520775011
1988-08-09,0.054503047150286026,0.00542356520775011
1988-08-10,0.054503047150286026,0.00542356520775011
1988-08-11,0.051356354262076534,0.004988315715829422
1988-08-12,0.051356354262076534,0.004988315715829422
