date,norm
1988-02-12,
1988-02-13,
1988-02-14,
1988-02-15,
1988-02-16,
1988-02-17,
1988-02-18,
1988-02-19,
1988-02-20,
1988-02-21,
1988-02-22,
1988-02-23,
1988-02-24,
1988-02-25,
1988-02-26,
1988-02-27,
1988-02-28,
1988-02-29,
1988-03-01,
1988-03-02,
1988-03-03,
1988-03-04,
1988-03-05,
1988-03-06,
1988-03-07,
1988-03-08,
1988-03-09,
1988-03-10,
1988-03-11,
1988-03-12,
1988-03-13,
1988-03-14,
1988-03-15,
1988-03-16,
1988-03-17,
1988-03-18,
1988-03-19,
1988-03-20,
1988-03-21,
1988-03-22,
1988-03-23,
1988-03-24,
1988-03-25,
1988-03-26,
1988-03-27,
1988-03-28,
1988-03-29,
1988-03-30,
1988-03-31,
1988-04-01,
1988-04-02,0.00980771460039726
1988-04-03,0.008456025895256656
1988-04-04,0.02056047291585223
1988-04-05,0.02056047291585223
1988-04-06,0.02056047291585223
1988-04-07,0.020234461653982284
1988-04-08,0.032159067091440986
1988-04-09,0.019374485426844813
1988-04-10,0.019374485426844813
1988-04-11,0.013399220106868285
1988-04-12,0.012352367696450994
1988-04-13,0.010997376940424096
1988-04-14,0.01213337868109217
1988-04-15,0.012133398458005033
1988-04-16,0.012133398458005033
1988-04-17,0.014337042569382483
1988-04-18,0.01314089288392376
1988-04-19,0.01549003738881627
1988-04-20,0.00959585992202669
1988-04-21,0.00959585992202669
1988-04-22,0.011128758783755974
1988-04-23,0.010887013493696997
1988-04-24,0.012198293769689828
1988-04-25,0.012198293769689828
1988-04-26,0.008565013536988422
1988-04-27,0.007466047594909473
1988-04-28,0.01987221238002042
1988-04-29,0.01987221238002042
1988-04-30,0.01987221238002042
1988-05-01,0.019055333043733056
1988-05-02,0.019248820871385533
1988-05-03,0.0191066794984995
1988-05-04,0.01910303614875947
1988-05-05,0.008683743705151886
1988-05-06,0.009357255013588804
1988-05-07,0.00935138356872769
1988-05-08,0.008930991971483391
1988-05-09,0.03230737125544322
1988-05-10,0.03230737125544322
1988-05-11,0.020766341041988857
1988-05-12,0.02227831028828867
1988-05-13,0.021986456621668118
1988-05-14,0.021986456621668118
1988-05-15,0.03765256686561665
1988-05-16,0.03765440930484933
1988-05-17,0.03765440930484933
1988-05-18,0.004343573819511527
1988-05-19,0.004006545827854246
1988-05-20,0.004095902549724323
1988-05-21,0.004095902549724323
1988-05-22,0.004095902549724323
1988-05-23,0.004095902549724323
1988-05-24,0.004095902549724323
1988-05-25,0.004006545827854246
1988-05-26,0.006264634498502652
1988-05-27,0.00841243875594105
1988-05-28,0.00841243875594105
1988-05-29,0.00841243875594105
1988-05-30,0.00841243875594105
1988-05-31,0.00841243875594105
1988-06-01,0.007595346349737111
1988-06-02,0.008786581766082189
1988-06-03,0.009188045780407971
1988-06-04,0.009188045780407971
1988-06-05,0.009188045780407971
1988-06-06,0.009188045780407971
1988-06-07,0.009188045780407971
1988-06-08,0.009188045780407971
1988-06-09,0.009188045780407971
1988-06-10,0.004219837134309446
1988-06-11,0.004666727395938204
1988-06-12,0.004666727395938204
1988-06-13,0.004666727395938204
1988-06-14,0.004666727395938204
1988-06-15,0.0013033491375576951
1988-06-16,0.0013033491375576951
1988-06-17,0.008114576250465421
1988-06-18,0.0054471782192907795
1988-06-19,0.008114576250465421
1988-06-20,0.008114576250465421
1988-06-21,0.008114576250465421
1988-06-22,0.008114576250465421
1988-06-23,0.0036396722733076123
1988-06-24,0.0036396722733076123
1988-06-25,0.008885642167724368
1988-06-26,0.008885642167724368
1988-06-27,0.008885642167724368
1988-06-28,0.008885642167724368
1988-06-29,0.007436646967840655
1988-06-30,0.007436646967840655
1988-07-01,0.003345899501700852
1988-07-02,0.003345899501700852
1988-07-03,0.003345899501700852
1988-07-04,0.003345899501700852
1988-07-05,0.003345899501700852
1988-07-06,0.0069661177479534014
1988-07-07,0.0
1988-07-08,0.0
1988-07-09,0.0
1988-07-10,0.0
1988-07-11,0.0
1988-07-12,0.0
1988-07-13,0.0
1988-07-14,0.005021200975188374
1988-07-15,0.005021200975188374
1988-07-16,0.005021200975188374
1988-07-17,0.005021200975188374
1988-07-18,0.005021200975188374
1988-07-19,0.005021200975188374
1988-07-20,0.020652942456543904
1988-07-21,0.020652942456543904
1988-07-22,0.020652942456543904
1988-07-23,0.020652942456543904
1988-07-24,0.020652942456543904
1988-07-25,0.019874514625123928
1988-07-26,0.019874514625123928
1988-07-27,0.019874514625123928
1988-07-28,0.019874514625123928
1988-07-29,0.019874514625123928
1988-07-30,0.019874514625123928
1988-07-31,0.019874514625123928
1988-08-01,0.019874514625123928
1988-08-02,0.01920531035494089
1988-08-03,0.017262096076584358
1988-08-04,0.017262096076584358
1988-08-05,0.010426389045199802
1988-08-06,0.010426389045199802
1988-08-07,0.010426389045199802
1988-08-08,0.010426389045199802
1988-08-09,0.010426389045199802
1988-08-10,0.010426389045199802
1988-08-11,0.003049212188353152
1988-08-12,0.003049212188353152
1988-08-13,0.003049212188353152
1988-08-14,0.003049212188353152
1988-08-15,0.003049212188353152
1988-08-16,0.00879603501591476
1988-08-17,0.00879603501591476
1988-08-18,0.005554809762409345
1988-08-19,0.005554809762409345
1988-08-20,0.005554809762409345
1988-08-21,0.005554809762409345
1988-08-22,0.005554809762409345
1988-08-23,0.005562410305979824
1988-08-24,0.005562410305979824
1988-08-25,0.0047254991387531385
1988-08-26,0.010128567879414003
1988-08-27,0.010599614498447162
1988-08-28,0.008531769677670725
1988-08-29,0.008531769677670725
1988-08-30,0.00867739385900752
